Provider,Site,Date,Start Time,End Time,Specialty,Site Type,Notes
Dr. Sarah Johnson,Main Hospital,2025-10-15,09:00,17:00,Cardiology,Hospital,Regular clinic hours
Dr. Sarah Johnson,Downtown Clinic,2025-10-16,08:00,16:00,Cardiology,Clinic,
Dr. Michael Chen,North Branch,2025-10-15,10:00,18:00,Orthopedics,Clinic,Extended hours
Dr. Michael Chen,Surgical Center,2025-10-17,07:00,15:00,Orthopedics,Surgery Center,Early surgery schedule
Dr. Emily Rodriguez,Main Hospital,2025-10-18,09:00,17:00,Pediatrics,Hospital,
Dr. Emily Rodriguez,Downtown Clinic,2025-10-19,13:00,21:00,Pediatrics,Clinic,Evening clinic
Dr. David Thompson,North Branch,2025-10-20,08:30,16:30,Internal Medicine,Clinic,
Dr. Lisa Wang,Main Hospital,2025-10-21,10:00,18:00,Dermatology,Hospital,Specialist consultation
Dr. James Wilson,Surgical Center,2025-10-22,06:00,14:00,General Surgery,Surgery Center,Morning surgeries
Dr. Maria Garcia,Downtown Clinic,2025-10-23,14:00,22:00,Emergency Medicine,Clinic,Evening emergency coverage